Tx de succes : 0.732 pour k = 10 en 9.252 sec.Coefs : 1, 1, 4, 3, 2, 20
Tx de succes : 0.728 pour k = 10 en 9.263 sec.Coefs : 1, 1, 4, 3, 3, 10
Tx de succes : 0.731 pour k = 10 en 9.253 sec.Coefs : 1, 1, 4, 3, 3, 20
Tx de succes : 0.729 pour k = 10 en 9.289 sec.Coefs : 1, 1, 4, 4, 1, 10
Tx de succes : 0.728 pour k = 10 en 9.262 sec.Coefs : 1, 1, 4, 4, 1, 20
Tx de succes : 0.729 pour k = 10 en 9.349 sec.Coefs : 1, 1, 4, 4, 2, 10
Tx de succes : 0.731 pour k = 10 en 9.186 sec.Coefs : 1, 1, 4, 4, 2, 20
Tx de succes : 0.727 pour k = 10 en 9.213 sec.Coefs : 1, 1, 4, 4, 3, 10
Tx de succes : 0.729 pour k = 10 en 9.193 sec.Coefs : 1, 1, 4, 4, 3, 20
Tx de succes : 0.73 pour k = 10 en 9.211 sec.Coefs : 1, 1, 4, 5, 1, 10
Tx de succes : 0.728 pour k = 10 en 9.173 sec.Coefs : 1, 1, 4, 5, 1, 20
Tx de succes : 0.73 pour k = 10 en 9.222 sec.Coefs : 1, 1, 4, 5, 2, 10
Tx de succes : 0.731 pour k = 10 en 9.185 sec.Coefs : 1, 1, 4, 5, 2, 20
Tx de succes : 0.727 pour k = 10 en 9.234 sec.Coefs : 1, 1, 4, 5, 3, 10
Tx de succes : 0.731 pour k = 10 en 9.187 sec.Coefs : 1, 1, 4, 5, 3, 20
Tx de succes : 0.729 pour k = 10 en 9.201 sec.Coefs : 1, 1, 5, 1, 1, 10
Tx de succes : 0.729 pour k = 10 en 9.151 sec.Coefs : 1, 1, 5, 1, 1, 20
Tx de succes : 0.73 pour k = 10 en 9.204 sec.Coefs : 1, 1, 5, 1, 2, 10
Tx de succes : 0.735 pour k = 10 en 9.176 sec.Coefs : 1, 1, 5, 1, 2, 20
Tx de succes : 0.724 pour k = 10 en 9.193 sec.Coefs : 1, 1, 5, 1, 3, 10
Tx de succes : 0.731 pour k = 10 en 9.157 sec.Coefs : 1, 1, 5, 1, 3, 20
Tx de succes : 0.727 pour k = 10 en 9.207 sec.Coefs : 1, 1, 5, 2, 1, 10
Tx de succes : 0.731 pour k = 10 en 9.178 sec.Coefs : 1, 1, 5, 2, 1, 20
Tx de succes : 0.727 pour k = 10 en 9.219 sec.Coefs : 1, 1, 5, 2, 2, 10
Tx de succes : 0.734 pour k = 10 en 9.195 sec.Coefs : 1, 1, 5, 2, 2, 20
Tx de succes : 0.726 pour k = 10 en 9.23 sec.Coefs : 1, 1, 5, 2, 3, 10
Tx de succes : 0.733 pour k = 10 en 9.21 sec.Coefs : 1, 1, 5, 2, 3, 20
Tx de succes : 0.73 pour k = 10 en 9.229 sec.Coefs : 1, 1, 5, 3, 1, 10
Tx de succes : 0.731 pour k = 10 en 9.19 sec.Coefs : 1, 1, 5, 3, 1, 20
Tx de succes : 0.728 pour k = 10 en 9.231 sec.Coefs : 1, 1, 5, 3, 2, 10
Tx de succes : 0.731 pour k = 10 en 9.224 sec.Coefs : 1, 1, 5, 3, 2, 20
Tx de succes : 0.728 pour k = 10 en 9.408 sec.Coefs : 1, 1, 5, 3, 3, 10
Tx de succes : 0.732 pour k = 10 en 9.204 sec.Coefs : 1, 1, 5, 3, 3, 20
Tx de succes : 0.729 pour k = 10 en 9.234 sec.Coefs : 1, 1, 5, 4, 1, 10
Tx de succes : 0.73 pour k = 10 en 9.216 sec.Coefs : 1, 1, 5, 4, 1, 20
Tx de succes : 0.728 pour k = 10 en 9.223 sec.Coefs : 1, 1, 5, 4, 2, 10
Tx de succes : 0.73 pour k = 10 en 9.195 sec.Coefs : 1, 1, 5, 4, 2, 20
Tx de succes : 0.727 pour k = 10 en 9.222 sec.Coefs : 1, 1, 5, 4, 3, 10
Tx de succes : 0.731 pour k = 10 en 9.466 sec.Coefs : 1, 1, 5, 4, 3, 20
Tx de succes : 0.73 pour k = 10 en 9.303 sec.Coefs : 1, 1, 5, 5, 1, 10
Tx de succes : 0.729 pour k = 10 en 9.199 sec.Coefs : 1, 1, 5, 5, 1, 20
Tx de succes : 0.73 pour k = 10 en 9.227 sec.Coefs : 1, 1, 5, 5, 2, 10
Tx de succes : 0.73 pour k = 10 en 9.224 sec.Coefs : 1, 1, 5, 5, 2, 20
Tx de succes : 0.728 pour k = 10 en 9.238 sec.Coefs : 1, 1, 5, 5, 3, 10
